Order ID	Job ID	Job Name	Job Description	Imprints
22728	1550	James Howard	Digital print on red shirt.	Direct To Garment,Front
22957	1555	Fitness 24 MMA	Black cotton tanks with digital print on front.	Direct To Garment,Front
22959	1557	Waldo Emerson Inn	Digital print on left chest of polo shirts.	Direct To Garment,Front
23032	1562	Zebra Cheer	Navy Gildan 18500 small with digital print on front and back.	Direct To Garment,Front,Back
23041	1564	A Bark in the Park	SHIP UPS. White, Gray, and Yellow shirts with digital print on front and back.	Direct To Garment,Front,Back
23044	1565	Google Foosball	White shirts with digital print on front and back.	Direct To Garment,Front,Back
23046	1566	Tacos and Hot Dogs	Royal shirts with digital print on front and back.	Direct To Garment,Front,Back
23103	1570	Embroidered logo on left chest.	Embroidered logo on left chest.	Embroidery
23103	1571	Embroidered logo on Hat	Embroidered logo on Hat	Embroidery
23103	1572	Digital Print of Logo	Digital Print of Logo + one color print on back.	Direct To Garment,Back	Screen Print,1-C,Back
23103	1573	OMG Design	Five color print on front. Shared one color print on bottom hem.	Screen Print,5-C,Front
23103	1574	BITE Design	Four color print on front. Shared one color print on bottom hem.	Screen Print,4-C,Front
23104	1576	Queen	Black 64000 tees with full color print on front and back.	Screen Print,Full Color,Front
23167	1580	Tadzia's Shirt	White small LAT shirt with digital print on front.	Direct To Garment,Front
23302	1587	Nautical Mile Pub Crawl	Sunshine American Apparel shirts with full color print on front and back. Include our logo.	Screen Print,Full Color,Front
23335	1588	Toneill's Last Stand	Digital print on front and back of white American Apparel shirts.	Direct To Garment,Front,Back
23391	1593	OMG Design	Five color print on front. Shared one color print on bottom hem.	Screen Print,5-C,Front
23391	1594	BITE Design	Four color print on front. Shared one color print on bottom hem.	Screen Print,4-C,Front
23392	1596	Mustache	Navy digital print on front and back of lemon shirts.	Direct To Garment,Front,Back
23397	1598	Rabinowitz Polos and Hats	Embroidered logo on left chest of polos / front of hats.	Embroidery
23438	1602	Nom Nom's Bakery Work Shirts	Black Tultex V-necks and Black Gildan Crew necks. Full color print on front and one color print on back.	Screen Print,1-C,Back	Screen Print,Full Color,Front
23479	1607	Arbor Maintenance	Ash Gray Hanes Beefy Tees with two color print on front left chest.	Screen Print,2-C,Front
23481	1608	Gilbert Reunion	Digital print on front of sapphire shirts.	Direct To Garment,Front
23519	1609	Feeny Flag	Digital print on front of athletic heather gray Canvas shirt.	Direct To Garment,Front
23561	1612	Digital Print	Digital Print	Direct To Garment,Front
23539	1611	ISSCA # 2	White shirts with full color print on front and back.	Screen Print,Full Color,Front
23646	1614	Navy Ink	DTG	Direct To Garment,Front
